Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
17,2,4.19,3,4,0,0,0,0,I,6.1,LC
18,4,22.45,1.7,3.5,0,0,0,0,I,3.27,LC
19,3,8.38,2.6,4,0,0,0,0,I,3.68,LC
20,2,4.19,3,2,0,0,0,0,I,5.21,LC
21,7,169.65,2,15,0,0,1,0,VII,166.56,LC
22,7,171.57,1.9,13,0,0,1,0,VII,43.73,LC
23,6,83.8,3,15,0,0,1,0,VII,2.35,LC
24,8,343,0.9,20,0,0,1,0,VII,60.28,LC
25,11,2828.61,1.15,294,0,0,0,0,IV,9915.6,LC
26,10,981.75,1.6,200,0,0,0,0,IV,321.3,LC
27,9,568.63,2,181,0,0,0,0,IV,502.12,LC
28,10,1011.2,1.6,206,0,0,0,0,IV,13720.45,LC
29,8,213.63,2,68,0,0,0,0,IV,0,LC
30,7,176.71,2.7,100,0,0,0,0,IV,1011.16,LC
31,7,106.19,3.1,80,0,0,0,0,IV,304.6,LC
32,8,254.47,2.2,100,0,0,0,0,IV,0,LC
33,8,282.74,1.4,40,0,0,0,0,IV,101.1,LC
34,7,141.37,1.4,20,0,0,0,0,IV,0,LC
35,8,184.49,1.4,26.1,0,0,0,0,IV,0,LC
36,6,84.95,1.7,16,0,0,0,0,IV,152.14,LC
37,10,1263.56,0.7,49,0,1,0,0,VI,372.17,LC
38,12,5657.22,0.6,147,0,1,0,0,VI,4887.84,LC
39,12,4834.91,0.5,76,0,1,0,0,VI,1412.38,LC
40,9,716.75,0.6,15,0,1,0,0,VI,1104.23,LC
41,9,410.54,0.8,12,0,1,0,0,VI,1227.17,LC
42,8,190.07,1,8,0,1,0,0,VI,150.45,LC
43,14,17241.06,0.2,28,0,1,0,0,VI,3782.59,LC
44,12,5195.41,0.6,135,0,1,0,0,VI,1215.41,LC
45,13,8812.17,0.3,68,0,1,0,0,VI,847.04,LC
46,9,569.41,0.9,29,0,1,0,0,VI,107.67,LC
47,7,160.22,1.3,17,0,1,0,0,VI,269.31,LC
48,7,98.96,1.8,21,0,1,0,0,VI,32.93,LC
49,6,48.69,3.06,31,0,1,0,0,VI,0,LC
50,8,340.94,1.1,30,0,1,0,0,VI,191.83,LC
51,13,9433,0.3,64,0,1,0,0,VI,45409.03,LC
52,8,226.19,1.2,18,0,1,0,0,VI,0,LC
53,9,647.95,0.9,33,0,1,0,0,VI,1606.06,LC
54,10,730.42,0.8,31,0,1,0,0,VI,490.31,LC
55,10,989.6,0.7,36,0,1,0,0,VI,327.47,LC
56,9,486.95,1,31,0,1,0,0,VI,711.5,LC
57,11,1526.81,0.5,27,0,1,0,0,VI,2697,LC
58,6,78.59,1.6,27,0,1,0,0,VI,0,LC
